-----------------------------------------------------------------------------
Mod name, Registry name, Potion Name, ID, Liquid color, Is bad, Is beneficial
-----------------------------------------------------------------------------
Alex's Mobs, alexsmobs:bug_pheromones, alexsmobs.potion.bug_pheromones, 233, 0x0078464B (   7882315), false, true
Alex's Mobs, alexsmobs:clinging, alexsmobs.potion.clinging, 235, 0x00BD4B4B (  12405579), false, true
Alex's Mobs, alexsmobs:debilitating_sting, alexsmobs.potion.debilitating_sting, 239, 0x00FFF385 (  16774021), false, false
Alex's Mobs, alexsmobs:ender_flu, alexsmobs.potion.ender_flu, 236, 0x006836AA (   6829738), true, false
Alex's Mobs, alexsmobs:exsanguination, alexsmobs.potion.exsanguination, 240, 0x00ED5151 (  15552849), true, false
Alex's Mobs, alexsmobs:fear, alexsmobs.potion.fear, 237, 0x007474F7 (   7632119), false, false
Alex's Mobs, alexsmobs:knockback_resistance, alexsmobs.potion.knockback_resistance, 226, 0x00865337 (   8803127), false, true
Alex's Mobs, alexsmobs:lava_vision, alexsmobs.potion.lava_vision, 227, 0x00FF6A00 (  16738816), false, true
Alex's Mobs, alexsmobs:oiled, alexsmobs.potion.oiled, 231, 0x00FFE89C (  16771228), false, true
Alex's Mobs, alexsmobs:orcas_might, alexsmobs.potion.orcas_might, 232, 0x004A4A52 (   4868690), false, true
Alex's Mobs, alexsmobs:poison_resistance, alexsmobs.potion.poison_resistance, 230, 0x0051FFAF (   5373871), false, true
Alex's Mobs, alexsmobs:soulsteal, alexsmobs.potion.soulsteal, 234, 0x0093FDFF (   9698815), false, true
Alex's Mobs, alexsmobs:sunbird_blessing, alexsmobs.potion.sunbird_blessing, 228, 0x00FFEAB9 (  16771769), false, true
Alex's Mobs, alexsmobs:sunbird_curse, alexsmobs.potion.sunbird_curse, 229, 0x00FFEAB9 (  16771769), true, false
Alex's Mobs, alexsmobs:tigers_blessing, alexsmobs.potion.tigers_blessing, 238, 0x00FFD75E (  16766814), false, true
Apotheosis, apotheosis:bleeding, effect.apotheosis.bleeding, 37, 0x008B0000 (   9109504), true, false
Apotheosis, apotheosis:knowledge, effect.apotheosis.knowledge, 36, 0x00F4EE42 (  16051778), false, true
Apotheosis, apotheosis:sundering, effect.apotheosis.sundering, 35, 0x00989898 (  10000536), true, false
Atum 2, atum:marked_for_death, effect.atum.marked_for_death, 190, 0x00C0A44D (  12624973), false, false
BetterEnd Forge, betterendforge:end_veil, effect.betterendforge.end_veil, 38, 0x000D554A (    873802), false, true
Blue Skies, blue_skies:deadly_venom, effect.blue_skies.deadly_venom, 225, 0x0090AF03 (   9481987), true, false
Bountiful Baubles, bountifulbaubles:flight, effect.bountifulbaubles.flight, 123, 0x00AAE0FF (  11198719), false, true
Bountiful Baubles, bountifulbaubles:sinful, effect.bountifulbaubles.sinful, 122, 0x00101317 (   1053463), false, true
Cataclysm Mod, cataclysm:blazing_sight, effect.cataclysm.blazing_sight, 246, 0x00865337 (   8803127), true, false
Cataclysm Mod, cataclysm:monstrous, effect.cataclysm.monstrous, 245, 0x00865337 (   8803127), false, true
Craft and Hunt, craftandhunt:beetalion, effect.craftandhunt.beetalion, 120, 0x007F8392 (   8356754), false, true
Craft and Hunt, craftandhunt:bleed, effect.craftandhunt.bleed, 96, 0x00390000 (   3735552), true, false
Craft and Hunt, craftandhunt:bug_ignore, effect.craftandhunt.bug_ignore, 111, 0x001DC2D1 (   1950417), false, true
Craft and Hunt, craftandhunt:corpse_eater, effect.craftandhunt.corpse_eater, 98, 0x00CD5CAB (  13458603), false, true
Craft and Hunt, craftandhunt:entity_blind, effect.craftandhunt.entity_blind, 109, 0x001F1F23 (   2039587), true, false
Craft and Hunt, craftandhunt:entity_know, effect.craftandhunt.entity_know, 106, 0x004E9331 (   5149489), true, false
Craft and Hunt, craftandhunt:exp_heal, effect.craftandhunt.exp_heal, 103, 0x007CAFC6 (   8171462), false, true
Craft and Hunt, craftandhunt:fire_blade, effect.craftandhunt.fire_blade, 102, 0x00E49A3A (  14981690), false, true
Craft and Hunt, craftandhunt:goat_strength, effect.craftandhunt.goat_strength, 118, 0x004E9331 (   5149489), false, true
Craft and Hunt, craftandhunt:guardian_armor, effect.craftandhunt.guardian_armor, 115, 0x007CAFC6 (   8171462), false, true
Craft and Hunt, craftandhunt:inky_defense, effect.craftandhunt.inky_defense, 107, 0x007CAFC6 (   8171462), false, true
Craft and Hunt, craftandhunt:kill_summon, effect.craftandhunt.kill_summon, 119, 0x004E9331 (   5149489), true, false
Craft and Hunt, craftandhunt:magic_blade, effect.craftandhunt.magic_blade, 99, 0x007CAFC6 (   8171462), false, true
Craft and Hunt, craftandhunt:mushroomized, effect.craftandhunt.mushroomized, 121, 0x00CD5CAB (  13458603), false, true
Craft and Hunt, craftandhunt:pack_leader, effect.craftandhunt.pack_leader, 114, 0x007F8392 (   8356754), false, true
